"","dw08","sex","educ","dw18","dg10","dw19c","dw12a"
"1891",NA,"FRAU","HOCHSCHULREIFE",NA,"MECKLENB.-VORPOMMERN",NA,NA
"1892",NA,"MANN","HOCHSCHULREIFE",NA,"BADEN-WUERTTEMBERG",NA,NA
"1893",NA,"FRAU","HOCHSCHULREIFE",NA,"SACHSEN",NA,NA
"1894","BEFRISTET","FRAU","HOCHSCHULREIFE","NEIN","BAYERN",NA,NA
"1895",NA,"FRAU","HOCHSCHULREIFE",NA,"BRANDENBURG",NA,NA
"1896",NA,"FRAU","MITTLERE REIFE",NA,"SONSTIGES LAND",NA,NA
"1897",NA,"MANN","HOCHSCHULREIFE",NA,"NIEDERSACHSEN",NA,NA
"1898","UNBEFRISTET","FRAU","HOCHSCHULREIFE","NEIN","SAARLAND",NA,NA
"1899",NA,"MANN","HOCHSCHULREIFE",NA,"SCHLESWIG-HOLSTEIN",NA,NA
"1900",NA,"FRAU","MITTLERE REIFE",NA,"SCHLESWIG-HOLSTEIN",NA,NA
"1901",NA,"FRAU","VOLKS-,HAUPTSCHULE",NA,"NORDRHEIN-WESTFALEN",NA,NA
"1902",NA,"FRAU","MITTLERE REIFE",NA,"SONSTIGES LAND",NA,NA
"1903","UNBEFRISTET","MANN","MITTLERE REIFE","NEIN","BADEN-WUERTTEMBERG",NA,NA
"1904","UNBEFRISTET","FRAU","FACHHOCHSCHULREIFE","NEIN","SACHSEN",NA,NA
"1905",NA,"MANN","HOCHSCHULREIFE",NA,"EHEM. BERLIN-OST",NA,NA
"1906",NA,"MANN","MITTLERE REIFE",NA,"THUERINGEN",NA,NA
"1907",NA,"MANN","VOLKS-,HAUPTSCHULE",NA,"BADEN-WUERTTEMBERG",NA,NA
"1908",NA,"MANN","HOCHSCHULREIFE",NA,"BADEN-WUERTTEMBERG",NA,NA
"1909",NA,"FRAU","OHNE ABSCHLUSS",NA,"SONSTIGES LAND",NA,NA
"1910","UNBEFRISTET","FRAU","MITTLERE REIFE","NEIN","HESSEN",NA,NA
"1911",NA,"FRAU","HOCHSCHULREIFE",NA,"HAMBURG",NA,NA
"1912",NA,"FRAU","FACHHOCHSCHULREIFE",NA,"SAARLAND",NA,NA
"1913","UNBEFRISTET","MANN","HOCHSCHULREIFE","NEIN","BADEN-WUERTTEMBERG",NA,NA
"1914",NA,"FRAU","VOLKS-,HAUPTSCHULE",NA,"NIEDERSACHSEN",NA,NA
"1915",NA,"FRAU","MITTLERE REIFE",NA,"NORDRHEIN-WESTFALEN",NA,NA
"1916","UNBEFRISTET","MANN","MITTLERE REIFE","NEIN","BAYERN",NA,NA
"1917",NA,"MANN","HOCHSCHULREIFE",NA,"SONSTIGES LAND",NA,NA
"1918","UNBEFRISTET","FRAU","HOCHSCHULREIFE","NEIN","HESSEN",NA,NA
"1919",NA,"MANN","VOLKS-,HAUPTSCHULE",NA,"NIEDERSACHSEN",NA,NA
"1920",NA,"FRAU","VOLKS-,HAUPTSCHULE",NA,"HESSEN",NA,NA
"1921",NA,"MANN","FACHHOCHSCHULREIFE",NA,"SACHSEN",NA,NA
"1922","UNBEFRISTET","MANN","MITTLERE REIFE","NEIN","BAYERN",NA,NA
"1923",NA,"FRAU","HOCHSCHULREIFE",NA,"BADEN-WUERTTEMBERG",NA,NA
"1924","UNBEFRISTET","FRAU","MITTLERE REIFE","NEIN","SONSTIGES LAND",NA,NA
"1925",NA,"MANN","MITTLERE REIFE",NA,"MECKLENB.-VORPOMMERN",NA,NA
"1926","UNBEFRISTET","MANN","MITTLERE REIFE","NEIN","RHEINLAND-PFALZ",NA,NA
"1927","UNBEFRISTET","FRAU","MITTLERE REIFE","NEIN","RHEINLAND-PFALZ",NA,NA
"1928",NA,"FRAU","HOCHSCHULREIFE",NA,"HESSEN",NA,NA
"1929",NA,"FRAU","MITTLERE REIFE","NEIN","BADEN-WUERTTEMBERG",NA,NA
"1930","UNBEFRISTET","MANN","MITTLERE REIFE","NEIN","SACHSEN-ANHALT",NA,NA
"1931","UNBEFRISTET","MANN","HOCHSCHULREIFE","NEIN","SACHSEN",NA,NA
"1932",NA,"FRAU","OHNE ABSCHLUSS",NA,"MECKLENB.-VORPOMMERN",NA,NA
"1933","UNBEFRISTET","MANN","VOLKS-,HAUPTSCHULE","NEIN","NORDRHEIN-WESTFALEN",NA,NA
"1934","BEFRISTET","MANN","HOCHSCHULREIFE","NEIN","EHEM. BERLIN-WEST",NA,NA
"1935",NA,"MANN","VOLKS-,HAUPTSCHULE",NA,"NORDRHEIN-WESTFALEN",NA,NA
"1936","UNBEFRISTET","FRAU","VOLKS-,HAUPTSCHULE","NEIN","BAYERN",NA,NA
"1937",NA,"MANN","VOLKS-,HAUPTSCHULE",NA,"SONSTIGES LAND",NA,NA
"1938","UNBEFRISTET","FRAU","HOCHSCHULREIFE","NEIN","HESSEN",NA,NA
"1939","UNBEFRISTET","FRAU","MITTLERE REIFE","JA","SCHLESWIG-HOLSTEIN","12 BIS 25 WOCHEN",NA
"1940","UNBEFRISTET","MANN","FACHHOCHSCHULREIFE","JA","NORDRHEIN-WESTFALEN","52 BIS 103 WOCHEN",NA
"1941","UNBEFRISTET","MANN","HOCHSCHULREIFE","NEIN","NORDRHEIN-WESTFALEN",NA,NA
"1942","UNBEFRISTET","MANN","VOLKS-,HAUPTSCHULE","JA","SACHSEN-ANHALT","52 BIS 103 WOCHEN",NA
"1943","BEFRISTET","MANN","MITTLERE REIFE","JA","SACHSEN-ANHALT","52 BIS 103 WOCHEN",NA
"1944","UNBEFRISTET","MANN","MITTLERE REIFE","NEIN","BAYERN",NA,NA
"1945",NA,"FRAU","HOCHSCHULREIFE",NA,"NIEDERSACHSEN",NA,NA
"1946",NA,"MANN","VOLKS-,HAUPTSCHULE",NA,"BAYERN",NA,NA
"1947","BEFRISTET","FRAU","VOLKS-,HAUPTSCHULE","JA","THUERINGEN","104 UND MEHR WOCHEN",NA
"1948",NA,"FRAU","OHNE ABSCHLUSS",NA,"HESSEN",NA,NA
"1949","UNBEFRISTET","FRAU","HOCHSCHULREIFE","NEIN","NIEDERSACHSEN",NA,NA
"1950","UNBEFRISTET","MANN","HOCHSCHULREIFE","JA","HESSEN","52 BIS 103 WOCHEN",NA
"1951","UNBEFRISTET","MANN","MITTLERE REIFE","NEIN","BADEN-WUERTTEMBERG",NA,NA
"1952",NA,"MANN","HOCHSCHULREIFE",NA,"NORDRHEIN-WESTFALEN",NA,NA
"1953",NA,"FRAU","MITTLERE REIFE",NA,"BAYERN",NA,NA
"1954","UNBEFRISTET","MANN","MITTLERE REIFE","NEIN","SONSTIGES LAND",NA,NA
"1955",NA,"MANN","HOCHSCHULREIFE",NA,"BAYERN",NA,NA
"1956","UNBEFRISTET","FRAU","MITTLERE REIFE","NEIN","HESSEN",NA,NA
"1957","UNBEFRISTET","FRAU","MITTLERE REIFE","NEIN","BRANDENBURG",NA,NA
"1958",NA,"MANN","HOCHSCHULREIFE",NA,"SACHSEN",NA,NA
"1959",NA,"FRAU","VOLKS-,HAUPTSCHULE",NA,"SONSTIGES LAND",NA,NA
"1960",NA,"MANN","VOLKS-,HAUPTSCHULE",NA,"NIEDERSACHSEN",NA,NA
"1961","UNBEFRISTET","FRAU","MITTLERE REIFE","NEIN","BADEN-WUERTTEMBERG",NA,NA
"1962","UNBEFRISTET","MANN","FACHHOCHSCHULREIFE","NEIN","NIEDERSACHSEN",NA,NA
"1963","UNBEFRISTET","MANN","MITTLERE REIFE","JA","SACHSEN","26 BIS 51 WOCHEN",NA
"1964","UNBEFRISTET","MANN","MITTLERE REIFE","NEIN","BADEN-WUERTTEMBERG",NA,NA
"1965",NA,"FRAU","FACHHOCHSCHULREIFE",NA,"NIEDERSACHSEN",NA,NA
"1966",NA,"FRAU","VOLKS-,HAUPTSCHULE",NA,"HESSEN",NA,NA
"1967","UNBEFRISTET","MANN","MITTLERE REIFE","NEIN","SACHSEN-ANHALT",NA,NA
"1968","UNBEFRISTET","FRAU","MITTLERE REIFE","NEIN","SACHSEN",NA,NA
"1969",NA,"FRAU","HOCHSCHULREIFE","NEIN","THUERINGEN",NA,NA
"1970","UNBEFRISTET","FRAU","MITTLERE REIFE","JA","BRANDENBURG","52 BIS 103 WOCHEN",NA
"1971",NA,"MANN","FACHHOCHSCHULREIFE","NEIN","NIEDERSACHSEN",NA,NA
"1972",NA,"MANN","HOCHSCHULREIFE",NA,"SACHSEN",NA,NA
"1973",NA,"FRAU","VOLKS-,HAUPTSCHULE",NA,"BADEN-WUERTTEMBERG",NA,NA
"1974","UNBEFRISTET","MANN","VOLKS-,HAUPTSCHULE","JA","SONSTIGES LAND","4 BIS 11 WOCHEN",NA
"1975",NA,"FRAU","VOLKS-,HAUPTSCHULE",NA,"SACHSEN",NA,NA
"1976",NA,"MANN","VOLKS-,HAUPTSCHULE",NA,"NIEDERSACHSEN",NA,NA
"1977",NA,"FRAU","VOLKS-,HAUPTSCHULE",NA,"BAYERN",NA,NA
"1978","UNBEFRISTET","MANN","MITTLERE REIFE","JA","NIEDERSACHSEN","12 BIS 25 WOCHEN",NA
"1979",NA,"FRAU","VOLKS-,HAUPTSCHULE",NA,"SACHSEN",NA,NA
"1980","UNBEFRISTET","FRAU","FACHHOCHSCHULREIFE","NEIN","SONSTIGES LAND",NA,NA
"1981","UNBEFRISTET","FRAU","MITTLERE REIFE","NEIN","BADEN-WUERTTEMBERG",NA,NA
"1982","UNBEFRISTET","MANN","MITTLERE REIFE","JA","RHEINLAND-PFALZ","UNTER 4 WOCHEN",NA
"1983","UNBEFRISTET","FRAU","HOCHSCHULREIFE","NEIN","SONSTIGES LAND",NA,NA
"1984","BEFRISTET","FRAU","HOCHSCHULREIFE","NEIN","NIEDERSACHSEN",NA,NA
"1985","BEFRISTET","FRAU","HOCHSCHULREIFE","NEIN","BAYERN",NA,NA
"1986","UNBEFRISTET","FRAU","MITTLERE REIFE","NEIN","RHEINLAND-PFALZ",NA,NA
"1987","UNBEFRISTET","FRAU","MITTLERE REIFE","NEIN","RHEINLAND-PFALZ",NA,NA
"1988",NA,"MANN","HOCHSCHULREIFE",NA,"BRANDENBURG",NA,NA
"1989","UNBEFRISTET","FRAU","VOLKS-,HAUPTSCHULE","NEIN","HAMBURG",NA,NA
"1990",NA,"FRAU","MITTLERE REIFE","NEIN","NIEDERSACHSEN",NA,NA
"1991","UNBEFRISTET","MANN","MITTLERE REIFE","JA","SACHSEN","12 BIS 25 WOCHEN",NA
"1992",NA,"FRAU","OHNE ABSCHLUSS",NA,"SONSTIGES LAND",NA,NA
"1993","BEFRISTET","MANN","MITTLERE REIFE","NEIN","NIEDERSACHSEN",NA,NA
"1994",NA,"MANN","MITTLERE REIFE",NA,"NIEDERSACHSEN",NA,NA
"1995",NA,"FRAU","VOLKS-,HAUPTSCHULE","NEIN","SONSTIGES LAND",NA,NA
"1996","UNBEFRISTET","MANN","MITTLERE REIFE","NEIN","THUERINGEN",NA,NA
"1997","UNBEFRISTET","FRAU","MITTLERE REIFE","JA","SACHSEN","104 UND MEHR WOCHEN",NA
"1998",NA,"FRAU","MITTLERE REIFE",NA,"NIEDERSACHSEN",NA,NA
"1999",NA,"FRAU","HOCHSCHULREIFE","NEIN","BADEN-WUERTTEMBERG",NA,NA
"2000",NA,"MANN","HOCHSCHULREIFE",NA,"FRUEHERE DT.OSTGEB.",NA,NA
"2001",NA,"MANN","HOCHSCHULREIFE",NA,"MECKLENB.-VORPOMMERN",NA,NA
"2002",NA,"FRAU","HOCHSCHULREIFE",NA,"SACHSEN",NA,NA
"2003",NA,"MANN","MITTLERE REIFE",NA,"BRANDENBURG",NA,NA
"2004","UNBEFRISTET","MANN","HOCHSCHULREIFE","NEIN","NORDRHEIN-WESTFALEN",NA,NA
"2005",NA,"MANN","HOCHSCHULREIFE","NEIN","SACHSEN",NA,NA
"2006","UNBEFRISTET","FRAU","MITTLERE REIFE","JA","MECKLENB.-VORPOMMERN","12 BIS 25 WOCHEN",NA
"2007",NA,"MANN","HOCHSCHULREIFE",NA,"EHEM. BERLIN-OST",NA,NA
"2008",NA,"MANN","HOCHSCHULREIFE",NA,"SACHSEN-ANHALT",NA,NA
"2009","UNBEFRISTET","MANN","VOLKS-,HAUPTSCHULE","NEIN","RHEINLAND-PFALZ",NA,NA
"2010","UNBEFRISTET","FRAU","VOLKS-,HAUPTSCHULE","NEIN","BADEN-WUERTTEMBERG",NA,NA
"2011",NA,"FRAU","HOCHSCHULREIFE",NA,"HESSEN",NA,NA
"2012","UNBEFRISTET","FRAU","HOCHSCHULREIFE","NEIN","NORDRHEIN-WESTFALEN",NA,NA
"2013","UNBEFRISTET","FRAU","VOLKS-,HAUPTSCHULE","NEIN","NORDRHEIN-WESTFALEN",NA,NA
"2014",NA,"FRAU","MITTLERE REIFE",NA,"SONSTIGES LAND",NA,NA
"2015","UNBEFRISTET","MANN","VOLKS-,HAUPTSCHULE","NEIN","NIEDERSACHSEN",NA,NA
"2016","UNBEFRISTET","MANN","VOLKS-,HAUPTSCHULE","NEIN","SACHSEN-ANHALT",NA,NA
"2017",NA,"MANN","FACHHOCHSCHULREIFE",NA,"SACHSEN",NA,NA
"2018","UNBEFRISTET","FRAU","VOLKS-,HAUPTSCHULE","JA","RHEINLAND-PFALZ","104 UND MEHR WOCHEN",NA
"2019","UNBEFRISTET","FRAU","MITTLERE REIFE","JA","BAYERN","UNTER 4 WOCHEN",NA
"2020",NA,"FRAU","HOCHSCHULREIFE","NEIN","SONSTIGES LAND",NA,NA
"2021","UNBEFRISTET","FRAU","MITTLERE REIFE","NEIN","HESSEN",NA,NA
"2022",NA,"FRAU","VOLKS-,HAUPTSCHULE","NEIN","BAYERN",NA,NA
"2023",NA,"FRAU","VOLKS-,HAUPTSCHULE",NA,"BAYERN",NA,NA
"2024",NA,"FRAU","VOLKS-,HAUPTSCHULE",NA,"BAYERN",NA,NA
"2025",NA,"MANN","HOCHSCHULREIFE",NA,"SACHSEN",NA,NA
"2026","UNBEFRISTET","MANN","VOLKS-,HAUPTSCHULE","JA","HESSEN","104 UND MEHR WOCHEN",NA
"2027","UNBEFRISTET","MANN","FACHHOCHSCHULREIFE","NEIN","BAYERN",NA,NA
"2028",NA,"FRAU","FACHHOCHSCHULREIFE",NA,"NIEDERSACHSEN",NA,NA
"2029","UNBEFRISTET","MANN","HOCHSCHULREIFE","JA","HAMBURG","UNTER 4 WOCHEN",NA
"2030",NA,"MANN","VOLKS-,HAUPTSCHULE",NA,"NORDRHEIN-WESTFALEN",NA,NA
"2031","UNBEFRISTET","MANN","MITTLERE REIFE","NEIN","HAMBURG",NA,NA
"2032","UNBEFRISTET","MANN","HOCHSCHULREIFE","NEIN","MECKLENB.-VORPOMMERN",NA,NA
"2033",NA,"FRAU","VOLKS-,HAUPTSCHULE",NA,"SACHSEN",NA,NA
"2034","UNBEFRISTET","FRAU","FACHHOCHSCHULREIFE","NEIN","BAYERN",NA,NA
"2035",NA,"MANN","MITTLERE REIFE",NA,"NIEDERSACHSEN",NA,NA
"2036","UNBEFRISTET","FRAU","MITTLERE REIFE","NEIN","BAYERN",NA,NA
"2037","BEFRISTET","FRAU","HOCHSCHULREIFE","NEIN","BADEN-WUERTTEMBERG",NA,NA
"2038",NA,"MANN","VOLKS-,HAUPTSCHULE",NA,"RHEINLAND-PFALZ",NA,NA
"2039",NA,"FRAU","MITTLERE REIFE",NA,"HESSEN",NA,NA
"2040",NA,"FRAU","HOCHSCHULREIFE",NA,"BRANDENBURG",NA,NA
"2041","BEFRISTET","MANN","FACHHOCHSCHULREIFE","JA","NIEDERSACHSEN","4 BIS 11 WOCHEN",NA
"2042",NA,"FRAU","ANDERER ABSCHLUSS",NA,"SONSTIGES LAND",NA,NA
"2043","UNBEFRISTET","FRAU","FACHHOCHSCHULREIFE","NEIN","NIEDERSACHSEN",NA,NA
"2044","UNBEFRISTET","FRAU","VOLKS-,HAUPTSCHULE","JA","SCHLESWIG-HOLSTEIN","52 BIS 103 WOCHEN",NA
"2045","UNBEFRISTET","FRAU","VOLKS-,HAUPTSCHULE","NEIN","NORDRHEIN-WESTFALEN",NA,NA
"2046","UNBEFRISTET","MANN","HOCHSCHULREIFE","JA","BAYERN","12 BIS 25 WOCHEN",NA
"2047","UNBEFRISTET","FRAU","MITTLERE REIFE","NEIN","BRANDENBURG",NA,NA
"2048",NA,"MANN","FACHHOCHSCHULREIFE","NEIN","RHEINLAND-PFALZ",NA,NA
"2049",NA,"FRAU","MITTLERE REIFE",NA,"BRANDENBURG",NA,NA
"2050",NA,"FRAU","VOLKS-,HAUPTSCHULE",NA,"NIEDERSACHSEN",NA,NA
"2051",NA,"FRAU","HOCHSCHULREIFE",NA,"THUERINGEN",NA,NA
"2052",NA,"MANN","MITTLERE REIFE",NA,"SACHSEN",NA,NA
"2053","UNBEFRISTET","FRAU","MITTLERE REIFE","NEIN","BRANDENBURG",NA,NA
"2054","UNBEFRISTET","MANN","VOLKS-,HAUPTSCHULE","JA","BADEN-WUERTTEMBERG","4 BIS 11 WOCHEN",NA
"2055","UNBEFRISTET","FRAU","HOCHSCHULREIFE","NEIN","NORDRHEIN-WESTFALEN",NA,NA
"2056",NA,"MANN","VOLKS-,HAUPTSCHULE",NA,"SONSTIGES LAND",NA,NA
"2057","UNBEFRISTET","MANN","HOCHSCHULREIFE","NEIN","NORDRHEIN-WESTFALEN",NA,NA
"2058","UNBEFRISTET","FRAU","HOCHSCHULREIFE","NEIN","EHEM. BERLIN-WEST",NA,NA
"2059",NA,"FRAU","MITTLERE REIFE",NA,"EHEM. BERLIN-OST",NA,NA
"2060","UNBEFRISTET","MANN","VOLKS-,HAUPTSCHULE","NEIN","NORDRHEIN-WESTFALEN",NA,NA
"2061","UNBEFRISTET","MANN","HOCHSCHULREIFE","JA","EHEM. BERLIN-OST","26 BIS 51 WOCHEN",NA
"2062","UNBEFRISTET","MANN","FACHHOCHSCHULREIFE","NEIN","HESSEN",NA,NA
"2063",NA,"MANN","VOLKS-,HAUPTSCHULE",NA,"NORDRHEIN-WESTFALEN",NA,NA
"2064",NA,"FRAU","HOCHSCHULREIFE",NA,"SACHSEN",NA,NA
"2065","UNBEFRISTET","MANN","FACHHOCHSCHULREIFE","NEIN","HESSEN",NA,NA
"2066","BEFRISTET","FRAU","VOLKS-,HAUPTSCHULE","JA","MECKLENB.-VORPOMMERN","52 BIS 103 WOCHEN",NA
"2067","UNBEFRISTET","FRAU","VOLKS-,HAUPTSCHULE","NEIN","SONSTIGES LAND",NA,NA
"2068","UNBEFRISTET","FRAU","MITTLERE REIFE","JA","NIEDERSACHSEN","12 BIS 25 WOCHEN",NA
"2069",NA,"FRAU","VOLKS-,HAUPTSCHULE",NA,"BADEN-WUERTTEMBERG",NA,NA
"2070",NA,"FRAU","MITTLERE REIFE",NA,"SAARLAND",NA,NA
"2071","UNBEFRISTET","MANN","MITTLERE REIFE","NEIN","NORDRHEIN-WESTFALEN",NA,NA
"2072","UNBEFRISTET","MANN","MITTLERE REIFE","NEIN","NIEDERSACHSEN",NA,NA
"2073",NA,"FRAU","MITTLERE REIFE",NA,"MECKLENB.-VORPOMMERN",NA,NA
"2074","UNBEFRISTET","FRAU","MITTLERE REIFE","NEIN","NORDRHEIN-WESTFALEN",NA,NA
"2075","UNBEFRISTET","FRAU","FACHHOCHSCHULREIFE","JA","BADEN-WUERTTEMBERG","52 BIS 103 WOCHEN",NA
"2076","UNBEFRISTET","FRAU","VOLKS-,HAUPTSCHULE","NEIN","NIEDERSACHSEN",NA,NA
"2077","UNBEFRISTET","FRAU","MITTLERE REIFE","NEIN","MECKLENB.-VORPOMMERN",NA,NA
"2078",NA,"FRAU","HOCHSCHULREIFE",NA,"THUERINGEN",NA,NA
"2079","UNBEFRISTET","FRAU","MITTLERE REIFE","NEIN","BAYERN",NA,NA
"2080",NA,"FRAU","MITTLERE REIFE",NA,"BRANDENBURG",NA,NA
"2081",NA,"FRAU","HOCHSCHULREIFE",NA,"RHEINLAND-PFALZ",NA,NA
"2082",NA,"MANN","MITTLERE REIFE",NA,"FRUEHERE DT.OSTGEB.",NA,NA
"2083","UNBEFRISTET","MANN","HOCHSCHULREIFE","NEIN","NORDRHEIN-WESTFALEN",NA,NA
"2084",NA,"FRAU","HOCHSCHULREIFE",NA,"HESSEN",NA,NA
"2085","UNBEFRISTET","MANN","MITTLERE REIFE","NEIN","SACHSEN-ANHALT",NA,NA
"2086","UNBEFRISTET","MANN","MITTLERE REIFE","JA","HESSEN","26 BIS 51 WOCHEN",NA
"2087","UNBEFRISTET","MANN","MITTLERE REIFE","NEIN","THUERINGEN",NA,NA
"2088",NA,"FRAU","MITTLERE REIFE",NA,"SACHSEN-ANHALT",NA,NA
"2089",NA,"FRAU","MITTLERE REIFE","JA","BRANDENBURG","104 UND MEHR WOCHEN",NA
"2090",NA,"MANN","VOLKS-,HAUPTSCHULE","NEIN","BAYERN",NA,NA
"2091","BEFRISTET","MANN","FACHHOCHSCHULREIFE","JA","SACHSEN-ANHALT","4 BIS 11 WOCHEN",NA
"2092",NA,"FRAU","MITTLERE REIFE","NEIN","BADEN-WUERTTEMBERG",NA,NA
"2093",NA,"FRAU","HOCHSCHULREIFE",NA,"BAYERN",NA,NA
"2094",NA,"MANN","HOCHSCHULREIFE","NEIN","EHEM. BERLIN-OST",NA,NA
"2095","UNBEFRISTET","FRAU","FACHHOCHSCHULREIFE","NEIN","HAMBURG",NA,NA
"2096","UNBEFRISTET","MANN","MITTLERE REIFE","NEIN","NIEDERSACHSEN",NA,NA
"2097","UNBEFRISTET","MANN","MITTLERE REIFE","JA","SACHSEN","12 BIS 25 WOCHEN",NA
"2098",NA,"MANN","MITTLERE REIFE",NA,"SACHSEN",NA,NA
"2099",NA,"MANN","MITTLERE REIFE",NA,"EHEM. BERLIN-WEST",NA,NA
"2100","UNBEFRISTET","MANN","HOCHSCHULREIFE","NEIN","SONSTIGES LAND",NA,NA
"2101",NA,"FRAU","FACHHOCHSCHULREIFE",NA,"HAMBURG",NA,NA
"2102",NA,"MANN","HOCHSCHULREIFE",NA,"BADEN-WUERTTEMBERG",NA,NA
"2103","UNBEFRISTET","FRAU","MITTLERE REIFE","NEIN","SACHSEN-ANHALT",NA,NA
"2104",NA,"MANN","MITTLERE REIFE",NA,"SACHSEN",NA,NA
"2105","UNBEFRISTET","FRAU","MITTLERE REIFE","JA","BRANDENBURG","104 UND MEHR WOCHEN",NA
"2106","UNBEFRISTET","MANN","HOCHSCHULREIFE","NEIN","NIEDERSACHSEN",NA,NA
"2107",NA,"MANN","FACHHOCHSCHULREIFE",NA,"BADEN-WUERTTEMBERG",NA,NA
"2108",NA,"FRAU","FACHHOCHSCHULREIFE","NEIN","NORDRHEIN-WESTFALEN",NA,NA
"2109",NA,"MANN","VOLKS-,HAUPTSCHULE",NA,"SACHSEN",NA,NA
"2110",NA,"FRAU","HOCHSCHULREIFE",NA,"BADEN-WUERTTEMBERG",NA,NA
"2111","UNBEFRISTET","FRAU","MITTLERE REIFE","NEIN","BADEN-WUERTTEMBERG",NA,NA
"2112",NA,"MANN","HOCHSCHULREIFE",NA,"BRANDENBURG",NA,NA
"2113","UNBEFRISTET","FRAU","FACHHOCHSCHULREIFE","NEIN","HESSEN",NA,NA
"2114",NA,"FRAU","MITTLERE REIFE",NA,"NORDRHEIN-WESTFALEN",NA,NA
"2115","UNBEFRISTET","FRAU","HOCHSCHULREIFE","NEIN","NORDRHEIN-WESTFALEN",NA,NA
"2116","UNBEFRISTET","MANN","ANDERER ABSCHLUSS","NEIN","BADEN-WUERTTEMBERG",NA,NA
"2117",NA,"MANN","ANDERER ABSCHLUSS",NA,"NORDRHEIN-WESTFALEN",NA,NA
"2118","UNBEFRISTET","FRAU","HOCHSCHULREIFE","NEIN","EHEM. BERLIN-WEST",NA,NA
"2119","UNBEFRISTET","MANN","HOCHSCHULREIFE","JA","HAMBURG","52 BIS 103 WOCHEN",NA
"2120","UNBEFRISTET","MANN","VOLKS-,HAUPTSCHULE","JA","BRANDENBURG","4 BIS 11 WOCHEN",NA
"2121",NA,"FRAU","HOCHSCHULREIFE","NEIN","NORDRHEIN-WESTFALEN",NA,NA
"2122",NA,"FRAU","HOCHSCHULREIFE",NA,"BAYERN",NA,NA
"2123",NA,"FRAU","VOLKS-,HAUPTSCHULE",NA,"NORDRHEIN-WESTFALEN",NA,NA
"2124",NA,"MANN","HOCHSCHULREIFE",NA,"EHEM. BERLIN-WEST",NA,NA
"2125",NA,"MANN","VOLKS-,HAUPTSCHULE",NA,"NORDRHEIN-WESTFALEN",NA,NA
"2126",NA,"FRAU","FACHHOCHSCHULREIFE",NA,"RHEINLAND-PFALZ",NA,NA
"2127","UNBEFRISTET","MANN","VOLKS-,HAUPTSCHULE","JA","SONSTIGES LAND","26 BIS 51 WOCHEN",NA
"2128",NA,"MANN","OHNE ABSCHLUSS",NA,"THUERINGEN",NA,NA
"2129","UNBEFRISTET","MANN","MITTLERE REIFE","NEIN","THUERINGEN",NA,NA
"2130",NA,"MANN","MITTLERE REIFE",NA,"SACHSEN",NA,NA
"2131",NA,"MANN","MITTLERE REIFE",NA,"EHEM. BERLIN-OST",NA,NA
"2132","UNBEFRISTET","FRAU","FACHHOCHSCHULREIFE","NEIN","SCHLESWIG-HOLSTEIN",NA,NA
"2133",NA,"MANN","HOCHSCHULREIFE","NEIN","NORDRHEIN-WESTFALEN",NA,NA
"2134","UNBEFRISTET","FRAU","HOCHSCHULREIFE","JA","MECKLENB.-VORPOMMERN","26 BIS 51 WOCHEN",NA
"2135","UNBEFRISTET","FRAU","MITTLERE REIFE","NEIN","NORDRHEIN-WESTFALEN",NA,NA
"2136",NA,"FRAU","FACHHOCHSCHULREIFE",NA,"BADEN-WUERTTEMBERG",NA,NA
"2137",NA,"MANN","VOLKS-,HAUPTSCHULE",NA,"BADEN-WUERTTEMBERG",NA,NA
"2138",NA,"MANN","NOCH SCHUELER",NA,"NORDRHEIN-WESTFALEN",NA,NA
"2139",NA,"FRAU","MITTLERE REIFE",NA,"SCHLESWIG-HOLSTEIN",NA,NA
"2140",NA,"MANN","VOLKS-,HAUPTSCHULE",NA,"SACHSEN",NA,NA
"2141",NA,"MANN","HOCHSCHULREIFE","NEIN","BAYERN",NA,NA
"2142","UNBEFRISTET","FRAU","MITTLERE REIFE","JA","SACHSEN","52 BIS 103 WOCHEN",NA
"2143",NA,"FRAU","FACHHOCHSCHULREIFE",NA,"NORDRHEIN-WESTFALEN",NA,NA
"2144","UNBEFRISTET","MANN","MITTLERE REIFE","NEIN","BADEN-WUERTTEMBERG",NA,NA
"2145","UNBEFRISTET","FRAU","HOCHSCHULREIFE","NEIN","BREMEN",NA,NA
"2146","UNBEFRISTET","FRAU","MITTLERE REIFE","NEIN","THUERINGEN",NA,NA
"2147",NA,"FRAU","VOLKS-,HAUPTSCHULE",NA,"FRUEHERE DT.OSTGEB.",NA,NA
"2148","UNBEFRISTET","MANN","FACHHOCHSCHULREIFE","NEIN","BADEN-WUERTTEMBERG",NA,NA
"2149","UNBEFRISTET","FRAU","HOCHSCHULREIFE","JA","NORDRHEIN-WESTFALEN","12 BIS 25 WOCHEN",NA
"2150","UNBEFRISTET","FRAU","MITTLERE REIFE","NEIN","SACHSEN",NA,NA
"2151","UNBEFRISTET","MANN","HOCHSCHULREIFE","NEIN","BAYERN",NA,NA
"2152",NA,"FRAU","HOCHSCHULREIFE",NA,"NORDRHEIN-WESTFALEN",NA,NA
"2153","UNBEFRISTET","FRAU","MITTLERE REIFE","JA","SACHSEN-ANHALT","4 BIS 11 WOCHEN",NA
"2154","BEFRISTET","MANN","FACHHOCHSCHULREIFE","NEIN","MECKLENB.-VORPOMMERN",NA,NA
